id,name,latitude,longitude,total_docks,street_address
3279,13th & Mifflin,39.9265,-75.1668,18,1229 Mifflin St
3280,50th & Woodland,39.93968,-75.21362,18,1418 S 50th Street
3281,Lindbergh & Wheeler,39.9323,-75.2162,15,5498 Lindbergh Blvd
3282,10th & Nevada,39.98628,-75.14925,15,2224 N 10th Street
3284,Midvale & Cresson,40.01112,-75.19287,14,3620 Midvale Avenue
3285,5th & Willow,39.95946,-75.14745,19,442 N 5th Street
3286,6th & Brown,39.96409,-75.14769,22,719 N 6th Street
3287,49th & Chester,39.94367,-75.21606,16,1110 S 49th Street
3291,Ridge & Heritage,40.01022,-75.197,15,4341 Ridge Avenue
3292,5th & Wolf,39.92,-75.1562,17,510 Wolf Street
3294,18th & Chestnut,39.95174,-75.17063,21,1805 Chestnut St
3295,12th & Chestnut,39.95028,-75.16027,21,118 S. 12th St.
3296,16th & Chestnut,39.95134,-75.16758,21,1603 Chestnut St.
3297,18th & Vine,39.95821,-75.16901,19,210 N 18th Street
3298,42nd & Woodland,39.94717,-75.20691,15,641 S 42nd Street
3299,9th & Lombard,39.94332,-75.15698,22,506 S 9th St
3300,Broad & Cherry,39.95511,-75.16287,13,119 N Broad Street
3301,18th & Walnut,39.95029,-75.17126,15,1811 Walnut Street
3303,41st & Chestnut,39.9559,-75.2053,20,4110 Chestnut Street
3304,7th & South,39.94234,-75.15399,21,703 South Street
3305,22nd & Lehigh,39.99569,-75.1671,11,2105 W Lehigh Avenue
3306,28th & Lehigh,39.99683,-75.17761,11,2820 W Lehigh Avenue
3307,27th & Clearfield,40.0028,-75.174,11,3103 N 27th Street
3310,Oxford & Glenwood,39.98024,-75.18651,15,3111 W Glenwood Avenue
3313,10th & Oregon,39.9158,-75.1643,9,2701 S 10th Street
3314,Front & Queen,39.93682,-75.14492,17,815 S Front Street
3315,48th & Woodland,39.94235,-75.21138,13,4796 Woodland Avenue
3316,16th & Wolf,39.92255,-75.17337,19,2269 S 16th Street
3318,City Hall South,39.95182,-75.16395,20,5 S Penn Square
3319,Penn Treaty Park,39.96672,-75.12964,16,1213 N Delaware Avenue
3320,Broad & Master,39.9746,-75.15917,17,1401 Master Street
3321,20th & Cuthbert,39.95485,-75.17298,21,53-61 N 20th St
3322,7th & Passyunk,39.93638,-75.15526,13,1001 E Passyunk Avenue
3323,Manayunk Bridge,40.02796,-75.2277,18,115 Dupont Street
3324,"Kelly Drive, Strawberry Mansion Bridge",39.99484,-75.19242,23,2400 Kelly Drive
3325,Cedar & Norris,39.9768,-75.12764,22,1847 Cedar Street
3326,"M.L.K. Drive, Strawberry Mansion Bridge",39.99198,-75.19944,17,Martin Luther King Jr Drive
3327,York & Gaul,39.97759,-75.12442,17,2424 E York Street
