id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_name,created_at,updated_at,latitude,longitude,private_latitude,private_longitude,coordinates_obscured,scientific_name,common_name
20026555,096bac5c-c235-4df1-a892-64e26290793e,Tue May 01 2018 07:05:14 GMT-0700 (PDT),2018-05-01,2018-05-01 14:05:14 UTC,Pacific Time (US & Canada),Windyc,2019-02-02 07:52:49 UTC,2019-03-16 18:06:04 UTC,34.4423185475,-119.223985104,,,false,Procyon lotor,Common Raccoon
20027351,a80f8bad-7dea-4434-991c-8f98771de8c6,Sun Jan 28 2018 12:49:25 GMT-0800 (PST),2018-01-28,2018-01-28 20:49:25 UTC,Pacific Time (US & Canada),Windyc,2019-02-02 08:49:34 UTC,2019-03-17 13:41:46 UTC,34.4422329264,-119.2239649036,,,false,Procyon lotor,Common Raccoon
20212766,d9fd72f9-a522-440c-9e6c-d042c3b271d2,Fri Feb 08 2019 10:51:04 GMT-0800 (PST),2019-02-08,2019-02-08 18:51:04 UTC,Pacific Time (US & Canada),Debbie A Parisi,2019-02-08 23:18:13 UTC,2020-01-17 20:50:21 UTC,34.39218,-118.9170616667,,,false,Procyon lotor,Common Raccoon
20463117,e11f63f1-276c-4061-8f3b-9a9833f63cf5,Sun Feb 17 2019 11:38:45 GMT-0800 (PST),2019-02-17,2019-02-17 19:38:45 UTC,Pacific Time (US & Canada),Debbie A Parisi,2019-02-18 20:33:12 UTC,2020-01-17 20:50:38 UTC,34.3105866667,-119.0965721667,,,false,Procyon lotor,Common Raccoon
20463147,62071bf7-7f66-412b-8e5d-cfd61d291ce0,Sun Feb 17 2019 12:09:51 GMT-0800 (PST),2019-02-17,2019-02-17 20:09:51 UTC,Pacific Time (US & Canada),Debbie A Parisi,2019-02-18 20:34:34 UTC,2020-01-17 20:50:40 UTC,34.3080466667,-119.0975805,,,false,Procyon lotor,Common Raccoon
20489708,48e6bf96-3a28-40f7-96c5-4827e20466c5,Sat Mar 10 2018 09:15:05 GMT-0800 (PST),2018-03-10,2018-03-10 17:15:05 UTC,Pacific Time (US & Canada),Debbie A Parisi,2019-02-19 16:50:58 UTC,2020-01-17 20:51:23 UTC,34.234775,-119.2634283333,,,false,Procyon lotor,Common Raccoon
20841063,e4f070e5-1d31-407f-a4d2-8ecaa06ff494,2019-02-28 8:39:46 AM PST,2019-02-28,2019-02-28 16:39:46 UTC,Pacific Time (US & Canada),Jess,2019-03-01 01:12:55 UTC,2019-03-16 18:45:52 UTC,34.284828186,-118.8262557983,,,false,Procyon lotor,Common Raccoon
20919220,bea13e70-8ade-4adc-8bb4-e847bbfc4fe7,Sun Mar 03 2019 11:43:28 GMT-0800 (PST),2019-03-03,2019-03-03 19:43:28 UTC,Pacific Time (US & Canada),,2019-03-03 19:43:30 UTC,2019-03-16 22:46:02 UTC,34.2708556541,-119.1966409051,,,false,Procyon lotor,Common Raccoon
20933696,fd2901f7-eeda-4dca-ac53-6dbefde157ec,Sun Mar 03 2019 10:42:53 GMT-0800 (PST),2019-03-03,2019-03-03 18:42:53 UTC,Pacific Time (US & Canada),Debbie A Parisi,2019-03-04 03:18:53 UTC,2020-01-17 20:52:01 UTC,34.3485216667,-119.0509416667,,,false,Procyon lotor,Common Raccoon
21380064,fa90d364-4ed0-42ca-b7f6-cf36d806e574,Sun Mar 17 2019 11:27:12 GMT-0700 (PDT),2019-03-17,2019-03-17 18:27:12 UTC,Pacific Time (US & Canada),Debbie A Parisi,2019-03-19 04:59:10 UTC,2020-01-17 20:52:36 UTC,34.3486583333,-119.0495445,,,false,Procyon lotor,Common Raccoon
21465040,b3690eef-5e86-4f61-a5e0-8de654aa2c48,Wed Mar 20 2019 17:05:55 GMT-0700 (PDT),2019-03-20,2019-03-21 00:05:55 UTC,Pacific Time (US & Canada),"",2019-03-21 22:45:34 UTC,2019-03-22 02:29:55 UTC,34.17022,-118.887725,,,false,Procyon lotor,Common Raccoon
21813122,3e638ea6-e541-4450-89b2-28afd18eb7d2,Mon Jan 21 2019 13:39:55 GMT-0800 (PST),2019-01-21,2019-01-21 13:39:55 UTC,UTC,,2019-03-31 03:29:59 UTC,2021-06-14 23:53:50 UTC,34.3092877965,-119.1225804757,,,true,Bassariscus astutus,Ringtail
21814989,a9e793a7-af0f-4516-b191-297e20ef682e,Sat Mar 30 2019 12:09:38 GMT-0700 (PDT),2019-03-30,2019-03-30 19:09:38 UTC,Pacific Time (US & Canada),Debbie A Parisi,2019-03-31 04:25:12 UTC,2020-01-17 20:53:19 UTC,34.3484416667,-119.0518278333,,,false,Procyon lotor,Common Raccoon
22218207,d8bc3d56-1af9-48de-9628-72ef0ef21706,Mon Apr 08 2019 17:27:30 GMT-0700 (PDT),2019-04-08,2019-04-09 00:27:30 UTC,Pacific Time (US & Canada),,2019-04-09 00:27:33 UTC,2019-12-10 00:01:49 UTC,34.2691221088,-119.1963790544,,,false,Procyon lotor,Common Raccoon
22218245,4f2e2356-b5e6-4f92-baa7-1f8bd9031cfb,Mon Apr 08 2019 17:28:41 GMT-0700 (PDT),2019-04-08,2019-04-09 00:28:41 UTC,Pacific Time (US & Canada),,2019-04-09 00:28:44 UTC,2019-12-10 00:01:50 UTC,34.2690940714,-119.1963204649,,,false,Procyon lotor,Common Raccoon
