duration,start_station,end_station,plan_duration,st_year,st_month,st_day,st_hour,st_minute,end_year,end_month,end_day,end_hour,end_minute,bike_electric,pass_daypass,pass_indego30,pass_indego365,pass_walkup,trip_oneway,day_of_week,is_weekend,st_hr_sin,st_hr_cos,st_day_sin,st_day_cos,st_yr_sin,st_yr_cos,in_deg_start,out_deg_start,betweenness_start,closeness_start,pagerank_start,in_deg_end,out_deg_end,betweenness_end,closeness_end,pagerank_end,st_name,st_lat,st_lon,end_name,end_lat,end_lon,dist_km,avg_wind,precip,snow,snow_ground,max_temp,min_temp
7,3007,3169,365,2025,3,31,16,26,2025,3,31,16,33,1,0,0,1,0,1,0,0,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.2225209339563138,0.8660254037844392,-0.4999999999999992,0.15822784810126583,0.1550632911392405,0.020120458705491343,0.4551992886285176,0.009989177586886774,0.10126582278481013,0.10126582278481013,0.010807317531897375,0.4104255881076798,0.005225845919042452,"11th & Pine, Kahn Park",39.94517,-75.15993,2nd & Race,39.95382,-75.14263,1.7606509640528936,11.18,1.27,0.0,0.0,82,50
3,3296,3363,365,2026,2,20,15,15,2026,2,20,15,18,1,0,0,1,0,1,4,0,-0.7071067811865471,-0.7071067811865479,0.7818314824680284,0.6234898018587354,1.0,1.1943401194869637e-15,0.06329113924050633,0.08860759493670886,0.005441062846771859,0.39854641044899153,0.003808915021349196,0.05063291139240506,0.04746835443037974,0.0015012776380867437,0.38038062102244913,0.002854351664767737,16th & Chestnut,39.95134,-75.16758,13th & Spruce,39.94655,-75.16263,0.6795116030859635,7.38,0.58,0.0,0.0,46,38
5,3207,3035,30,2024,6,7,13,4,2024,6,7,13,9,1,0,1,0,0,1,4,0,-0.2588190451025208,-0.9659258262890684,-0.781831482468029,0.6234898018587346,0.5,0.8660254037844386,0.09177215189873418,0.12025316455696203,0.009913388158398978,0.4092058983956213,0.005109034330386059,0.08227848101265822,0.07278481012658228,0.010322408260900149,0.4191713388436121,0.005100613611442114,34th & Chestnut,39.95441,-75.192,Dornsife Center,39.96271,-75.19419,0.941604276746424,10.96,0.0,0.0,0.0,87,70
13,3124,3025,30,2022,8,7,5,43,2022,8,7,5,56,1,0,1,0,0,1,6,1,0.9659258262890684,0.2588190451025207,-0.9749279121818236,-0.2225209339563146,0.4999999999999999,-0.8660254037844387,0.07278481012658228,0.10126582278481013,0.007099774928848825,0.39454952667658044,0.004253384383791642,0.08860759493670886,0.056962025316455694,0.002862110568106427,0.4153779330622219,0.004148550317826583,Race Street Pier,39.95367,-75.13956,11th & Washington,39.93724,-75.1612,2.5963181296077726,12.75,0.0,0.0,0.0,94,78
14,3026,3202,365,2021,9,11,7,7,2021,9,11,7,21,0,0,0,1,0,1,5,1,0.9659258262890684,-0.2588190451025206,-2.4492935982947064e-16,1.0,-0.4999999999999997,-0.8660254037844388,0.08860759493670886,0.12341772151898733,0.008404166113012097,0.4067881382869323,0.004668031057426519,0.10443037974683544,0.07278481012658228,0.009454843075851368,0.42433831990794013,0.007654204676123518,2nd & Lombard,39.94182,-75.1455,,,,,6.93,0.0,0.0,0.0,80,58
11,3004,3055,1,2021,12,30,14,16,2021,12,30,14,27,0,1,0,0,0,1,3,0,-0.4999999999999997,-0.8660254037844388,-4.898587196589413e-16,1.0,0.8660254037844384,0.5000000000000004,0.015822784810126583,0.03481012658227848,0.0003212200357803161,0.34253180301026515,0.0011206656315956023,0.09493670886075949,0.10759493670886076,0.013959019693060105,0.41412867612068144,0.005140563587591525,Municipal Services Building Plaza,39.95371,-75.16423,8th & Market,39.95112,-75.15457,0.8723258171222162,3.13,0.2,0.0,0.0,53,46
7,3255,3066,365,2025,10,2,17,4,2025,10,2,17,11,1,0,0,1,0,1,3,0,-0.9659258262890684,-0.2588190451025206,0.433883739117557,-0.9009688679024196,0.4999999999999998,-0.8660254037844388,0.0981012658227848,0.12658227848101267,0.01408273845209232,0.42565003032496623,0.005108164608261738,0.14556962025316456,0.14556962025316456,0.015047935056206956,0.45072924651432594,0.008075355559572124,Broad & Chestnut,39.95095,-75.16438,19th & Lombard,39.94561,-75.17348,0.9768973090110388,5.82,0.0,0.0,0.0,72,54
16,3185,3041,30,2025,8,25,19,14,2025,8,25,19,30,1,0,1,0,0,1,0,0,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.222520933956315,-0.4999999999999991,-0.8660254037844392,0.14556962025316456,0.16772151898734178,0.02293656230230265,0.44852698635220384,0.007535246487539324,0.07278481012658228,0.060126582278481014,0.007169764847498786,0.39625261815863766,0.0037737122452548458,11th & Market ,39.95169,-75.15888,"Girard Station, MFL",39.96849,-75.13546,2.7338739820157913,9.62,0.0,0.0,0.0,86,70
18,3255,3209,30,2022,10,26,16,58,2022,10,26,17,16,1,0,1,0,0,1,2,0,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.2225209339563138,0.8660254037844392,-0.4999999999999992,0.0981012658227848,0.12658227848101267,0.01408273845209232,0.42565003032496623,0.005108164608261738,0.04113924050632911,0.0759493670886076,0.007308712469467302,0.3772542049592509,0.002623851016302217,Broad & Chestnut,39.95095,-75.16438,45th & Baltimore,39.949,-75.21278,4.131437004053522,7.16,0.0,0.0,0.0,68,59
6,3046,3028,365,2021,10,15,14,10,2021,10,15,14,16,0,0,0,1,0,1,4,0,-0.4999999999999997,-0.8660254037844388,-4.898587196589413e-16,1.0,0.8660254037844384,0.5000000000000004,0.11075949367088607,0.12658227848101267,0.008438695989508705,0.42499316299421785,0.006467537223653641,0.1550632911392405,0.18670886075949367,0.025304648069234558,0.45072924651432594,0.010101805333423607,,,,4th & Bainbridge,39.94061,-75.14958,,4.7,0.0,0.0,0.0,82,61
6,3061,3009,30,2020,4,2,19,13,2020,4,2,19,19,0,0,1,0,0,1,3,0,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.222520933956315,-0.4999999999999991,-0.8660254037844392,0.14556962025316456,0.14873417721518986,0.017704778507158594,0.44707072990300833,0.008628831811203252,0.10443037974683544,0.09493670886075949,0.0177703129190369,0.42433831990794013,0.007860878773064742,,,,33rd & Market,39.95576,-75.18982,,19.69,0.0,0.0,0.0,58,40
12,3259,3201,30,2026,2,20,14,6,2026,2,20,14,18,1,0,1,0,0,1,4,0,-0.4999999999999997,-0.8660254037844388,-4.898587196589413e-16,1.0,0.8660254037844384,0.5000000000000004,0.0189873417721519,0.02531645569620253,0.0005846814760756263,0.3455402379175071,0.0014258781582611436,0.09177215189873418,0.09177215189873418,0.0068672962290204954,0.4135068612916714,0.0048875196042543565,Saunders & Pearl,39.95998,-75.19883,16th & Arch,39.95523,-75.1662,2.830865960291828,7.38,0.58,0.0,0.0,46,38
19,3017,3100,365,2022,8,27,19,32,2022,8,27,19,51,1,0,0,1,0,1,5,1,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.222520933956315,-0.4999999999999991,-0.8660254037844392,0.03164556962025317,0.04746835443037974,0.004296331616944915,0.35952424232409025,0.001942701336016084,0.13924050632911392,0.11708860759493671,0.0179144085027013,0.4296342739785541,0.01046312798753414,6th & Berks,39.98003,-75.14371,Moyamensing & Tasker,39.92777,-75.15103,5.84444753687295,6.49,0.0,0.0,0.0,93,75
16,3202,3159,30,2021,10,27,13,27,2021,10,27,13,43,1,0,1,0,0,1,2,0,-0.2588190451025208,-0.9659258262890684,-0.781831482468029,0.6234898018587346,0.5,0.8660254037844386,0.10443037974683544,0.07278481012658228,0.009454843075851368,0.42433831990794013,0.007654204676123518,0.08544303797468354,0.07278481012658228,0.00465623701215224,0.3979704763298456,0.00551476276965926,,,,38th & Spruce,39.95121,-75.19962,,12.3,0.03,0.0,0.0,68,50
3,3150,3361,30,2026,3,2,15,19,2026,3,2,15,22,1,0,1,0,0,1,0,0,-0.7071067811865471,-0.7071067811865479,0.7818314824680284,0.6234898018587354,1.0,1.1943401194869637e-15,0.08227848101265822,0.0379746835443038,0.0032470864323882126,0.3979704763298456,0.004804378868471219,0.04430379746835443,0.05379746835443038,0.002629745142905761,0.37829061761023786,0.002660720124764122,"15th & Castle, DiSilvestro Playground",39.92884,-75.17021,"18th & Fernon, Aquinas Center",39.93082,-75.17474,0.44460319345176114,7.16,0.0,0.0,0.0,35,26
13,3054,3263,365,2025,8,16,15,56,2025,8,16,16,9,0,0,0,1,0,1,5,1,-0.7071067811865471,-0.7071067811865479,0.7818314824680284,0.6234898018587354,1.0,1.1943401194869637e-15,0.18037974683544303,0.15822784810126583,0.0316247012050513,0.473188263952325,0.009770751501475819,0.028481012658227847,0.03481012658227848,0.00099032776345432,0.364762343867885,0.0022783653754381277,Rodin Museum,39.9625,-75.1742,43rd & Powelton,39.9586,-75.2081,2.921641681655431,5.14,0.0,0.0,0.0,90,75
6,3075,3037,30,2022,8,27,13,49,2022,8,27,13,55,1,0,1,0,0,1,5,1,-0.2588190451025208,-0.9659258262890684,-0.781831482468029,0.6234898018587346,0.5,0.8660254037844386,0.08544303797468354,0.08544303797468354,0.015306112194751332,0.42368549172346637,0.0055390621694765335,0.11708860759493671,0.13291139240506328,0.018882651095998206,0.43575248357634994,0.0071824727322832935,Fairmount & Ridge,39.96718,-75.16125,Pennsylvania Convention Center,39.95424,-75.16138,1.4389050095515872,6.49,0.0,0.0,0.0,93,75
12,3099,3018,30,2020,4,23,15,7,2020,4,23,15,19,1,0,1,0,0,1,3,0,-0.7071067811865471,-0.7071067811865479,0.7818314824680284,0.6234898018587354,1.0,1.1943401194869637e-15,0.06329113924050633,0.06329113924050633,0.003000410365180166,0.4055899405305643,0.002980371679392955,0.1518987341772152,0.10126582278481013,0.010596330246996707,0.44999276081740713,0.00897629747098617,4th & Washington,39.93401,-75.15094,12th & Filbert,39.95273,-75.15979,2.214081010657966,7.38,0.46,0.0,0.0,59,41
15,3163,3075,30,2024,6,29,16,12,2024,6,29,16,27,0,0,1,0,0,1,5,1,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.2225209339563138,0.8660254037844392,-0.4999999999999992,0.14240506329113925,0.14556962025316456,0.016373377894817985,0.4463461420101347,0.008605294530108231,0.08544303797468354,0.08544303797468354,0.015306112194751332,0.42368549172346637,0.0055390621694765335,25th & Locust,39.94974,-75.18097,Fairmount & Ridge,39.96718,-75.16125,2.5662537086116677,9.62,0.38,0.0,0.0,88,66
4,3209,3006,30,2021,9,14,19,25,2021,9,14,19,29,0,0,1,0,0,1,1,0,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.222520933956315,-0.4999999999999991,-0.8660254037844392,0.04113924050632911,0.0759493670886076,0.007308712469467302,0.3772542049592509,0.002623851016302217,0.08227848101265822,0.0981012658227848,0.0072638567195225535,0.3991240139423959,0.0052304939925045,45th & Baltimore,39.949,-75.21278,40th & Spruce,39.9522,-75.20311,0.8978097671177679,4.47,0.0,0.0,0.0,88,69
37,3165,3212,1,2021,7,24,12,39,2021,7,24,13,16,1,1,0,0,0,1,5,1,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563148,-2.4492935982947064e-16,1.0,0.0759493670886076,0.08227848101265822,0.005824538205275768,0.4104255881076798,0.003926295864714959,0.09177215189873418,0.0981012658227848,0.022236535419573204,0.41288691097489233,0.007914357202121329,24th & Race SRT,39.95819,-75.1782,Schuylkill Banks Pergola,39.96383,-75.18177,0.697052557056873,5.82,0.0,0.0,0.0,86,66
9,3155,3360,365,2025,7,21,11,23,2025,7,21,11,32,0,0,0,1,0,1,0,0,0.258819045102521,-0.9659258262890682,-0.4338837391175562,-0.90096886790242,-0.5000000000000004,0.8660254037844384,0.06962025316455696,0.11392405063291139,0.003392676678905216,0.39854641044899153,0.0037232034540751477,0.0379746835443038,0.04430379746835443,0.0035673199976620526,0.36573116815438667,0.002358912065977443,7th & Fitzwater,39.94018,-75.15442,Broad & Reed,39.93304,-75.16822,1.4193884657393103,8.72,0.0,0.0,0.0,89,73
7,3203,3078,30,2021,11,2,13,16,2021,11,2,13,23,0,0,1,0,0,1,1,0,-0.2588190451025208,-0.9659258262890684,-0.781831482468029,0.6234898018587346,0.5,0.8660254037844386,0.10126582278481013,0.07911392405063292,0.004535135363295893,0.4122688167967862,0.005853091739573519,0.11392405063291139,0.10759493670886076,0.011394561885637323,0.4316544978373874,0.005886353619475592,18th & Christian,39.94077,-75.17227,19th & Market,39.95355,-75.17192,1.4213843409241693,6.93,0.02,0.0,0.0,53,41
12,3058,3029,30,2024,8,6,9,0,2024,8,6,9,12,1,0,1,0,0,1,1,0,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.2225209339563141,-1.0,-1.8369701987210292e-16,0.09493670886075949,0.12341772151898733,0.014400267409022647,0.4210941431502342,0.005750842106478506,0.12025316455696203,0.11708860759493671,0.008850744481286003,0.42696987538023745,0.006629315993787854,,,,36th & Sansom,39.9538,-75.19479,,7.61,1.39,0.0,0.0,91,71
15,3022,3212,30,2021,6,25,20,22,2021,6,25,20,37,0,0,1,0,0,1,4,0,-0.8660254037844386,0.5000000000000001,-0.7818314824680302,0.6234898018587329,-0.8660254037844387,-0.4999999999999998,0.18987341772151897,0.14556962025316456,0.025021295370292247,0.4551992886285176,0.01133969313949494,0.09177215189873418,0.0981012658227848,0.022236535419573204,0.41288691097489233,0.007914357202121329,Amtrak 30th Street Station,39.95472,-75.18323,Schuylkill Banks Pergola,39.96383,-75.18177,1.0206002347275276,5.37,0.0,0.0,0.0,81,58
7,3020,3022,365,2022,11,15,15,15,2022,11,15,15,22,0,0,0,1,0,1,1,0,-0.7071067811865471,-0.7071067811865479,0.7818314824680284,0.6234898018587354,1.0,1.1943401194869637e-15,0.12974683544303797,0.12341772151898733,0.009817688000207358,0.44133905387861083,0.007762364619039785,0.18987341772151897,0.14556962025316456,0.025021295370292247,0.4551992886285176,0.01133969313949494,University City Station,39.94855,-75.19007,Amtrak 30th Street Station,39.95472,-75.18323,0.9003542147850766,9.62,1.1,0.0,0.0,46,33
24,3032,3032,365,2024,10,29,14,18,2024,10,29,14,42,1,0,0,1,0,0,1,0,-0.4999999999999997,-0.8660254037844388,-4.898587196589413e-16,1.0,0.8660254037844384,0.5000000000000004,0.16772151898734178,0.1550632911392405,0.012214966557181977,0.457467723621683,0.009400800842337884,0.16772151898734178,0.1550632911392405,0.012214966557181977,0.457467723621683,0.009400800842337884,23rd & South,39.94527,-75.17971,23rd & South,39.94527,-75.17971,0.0,3.36,0.0,0.0,0.0,69,42
7,3235,3385,365,2025,3,23,8,14,2025,3,23,8,22,1,0,0,1,0,1,6,1,0.8660254037844387,-0.4999999999999998,0.7818314824680296,0.6234898018587337,-0.8660254037844385,-0.5000000000000004,0.06962025316455696,0.0379746835443038,0.005542834744827068,0.40859876798257144,0.004585805476747604,0.012658227848101266,0.012658227848101266,0.00027674428414851244,0.33462402140978514,0.0012279069155978096,16th & Callowhill,39.96,-75.1651,8th & Chestnut,39.94974,-75.15424,1.4691575588764219,8.5,0.04,0.0,0.0,50,34
8,3050,3101,30,2020,10,17,16,52,2020,10,17,17,0,0,0,1,0,0,1,5,1,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.2225209339563138,0.8660254037844392,-0.4999999999999992,0.056962025316455694,0.056962025316455694,0.002075935518074276,0.3934222423146474,0.0028411299973579523,0.16455696202531644,0.13291139240506328,0.013794964578540032,0.45220947392488203,0.010133316716254991,,,,11th & South,39.94295,-75.15955,,6.71,0.01,0.0,0.0,61,43
9,3165,3018,30,2021,6,23,9,55,2021,6,23,10,4,1,0,1,0,0,1,2,0,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.2225209339563141,-1.0,-1.8369701987210292e-16,0.0759493670886076,0.08227848101265822,0.005824538205275768,0.4104255881076798,0.003926295864714959,0.1518987341772152,0.10126582278481013,0.010596330246996707,0.44999276081740713,0.00897629747098617,24th & Race SRT,39.95819,-75.1782,12th & Filbert,39.95273,-75.15979,1.6825457167079239,6.71,0.0,0.0,0.0,77,54
17,3347,3168,1,2025,10,12,18,3,2025,10,12,18,20,0,0,0,0,1,1,6,1,-1.0,-1.8369701987210292e-16,-0.4338837391175575,-0.9009688679024194,3.6739403974420594e-16,-1.0,0.04113924050632911,0.04113924050632911,0.003263325289396595,0.36046540526211146,0.0027957031823025867,0.12658227848101267,0.12658227848101267,0.016198351672116956,0.44418640261331155,0.006556714645478426,,,,,,,,19.69,0.01,0.0,0.0,65,57
7,3204,3294,30,2024,5,18,13,10,2024,5,18,13,17,1,0,1,0,0,1,5,1,-0.2588190451025208,-0.9659258262890684,-0.781831482468029,0.6234898018587346,0.5,0.8660254037844386,0.09177215189873418,0.08544303797468354,0.005438739816348289,0.42303466915553484,0.0053770868118126714,0.0981012658227848,0.05063291139240506,0.004611514104465525,0.43030557753164556,0.005877435018242578,17th & Green,39.96437,-75.16582,18th & Chestnut,39.95174,-75.17063,1.4630074943934115,2.46,0.12,0.0,0.0,66,56
11,3368,3018,365,2025,11,15,12,42,2025,11,15,12,53,1,0,0,1,0,1,5,1,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563148,-2.4492935982947064e-16,1.0,0.015822784810126583,0.006329113924050633,5.277374628931588e-05,0.3464095215349096,0.0011574739956363182,0.1518987341772152,0.10126582278481013,0.010596330246996707,0.44999276081740713,0.00897629747098617,23rd & Master,39.97647,-75.17362,12th & Filbert,39.95273,-75.15979,2.890950821487557,4.47,0.0,0.0,0.0,55,40
39,3035,3104,30,2023,3,18,11,12,2023,3,18,11,51,0,0,1,0,0,1,5,1,0.258819045102521,-0.9659258262890682,-0.4338837391175562,-0.90096886790242,-0.5000000000000004,0.8660254037844384,0.08227848101265822,0.07278481012658228,0.010322408260900149,0.4191713388436121,0.005100613611442114,0.04113924050632911,0.0379746835443038,0.0025987472394405444,0.36188642525657444,0.0032274982066272497,Dornsife Center,39.96271,-75.19419,34th & Mantua,39.96664,-75.19209,0.4722247264168383,15.66,0.01,0.0,0.0,54,40
36,3108,3065,30,2020,9,17,18,55,2020,9,17,19,31,0,0,1,0,0,1,3,0,-1.0,-1.8369701987210292e-16,-0.4338837391175575,-0.9009688679024194,3.6739403974420594e-16,-1.0,0.07278481012658228,0.06645569620253164,0.004547390153278383,0.4116525704338612,0.0038863949094556137,0.022151898734177215,0.028481012658227847,0.0005290947909826804,0.33140261085469697,0.0014590971638402304,,,,Girard & Hutchinson,39.9707,-75.15171,,3.8,0.04,0.0,0.0,76,62
2,3395,3025,30,2025,7,18,18,24,2025,7,18,18,26,0,0,1,0,0,1,4,0,-1.0,-1.8369701987210292e-16,-0.4338837391175575,-0.9009688679024194,3.6739403974420594e-16,-1.0,0.0031645569620253164,0.0189873417721519,5.955463574474941e-05,0.2886746012790914,0.0006449224870031222,0.08860759493670886,0.056962025316455694,0.002862110568106427,0.4153779330622219,0.004148550317826583,12th & Carpenter,39.93866,-75.16351,11th & Washington,39.93724,-75.1612,0.2524257581183872,7.38,0.0,0.0,0.0,85,76
