id,listing name,listing name (commas removed),seller,price,refurb,model,rating,size_rating,memory,color,free return,free shipping,style
30,"Apple 2024 iPad Air, 13-inch, Wi-Fi, 256GB, Space Gray (Renewed)",Apple 2024 iPad Air 13-inch Wi-Fi 256GB Space Gray (Renewed),iPower Resale Inc,679,1,air,4.9,34,256,space gray,0,1,wifi
31,"Apple iPad Pro 11-Inch (M4): Built for Apple Intelligence, Ultra Retina XDR Display - Nano-Texture Glass, 1TB, 12MP Front/Back Camera, LiDAR Scanner, Wi-Fi 6E, Face ID, All-Day Battery Life — Silver",Apple iPad Pro 11-Inch (M4): Built for Apple Intelligence Ultra Retina XDR Display - Nano-Texture Glass 1TB 12MP Front/Back Camera LiDAR Scanner Wi-Fi 6E Face ID All-Day Battery Life — Silver,amazon.com,1699,0,pro,4.9,14,1000,silver,1,1,wifi
32,"Apple Early 2018 iPad (9.7-inch, Wi-Fi, 32GB) - Space Gray (Renewed Premium)",Apple Early 2018 iPad (9.7-inch Wi-Fi 32GB) - Space Gray (Renewed Premium),ALTA Deals,106.99,1,6th gen,4.3,227,32,space gray,1,1,wifi
33,"Apple iPad Air 2, 32 GB, Silver, (Renewed)",Apple iPad Air 2 32 GB Silver (Renewed),Milo Certified Electronics,149,1,2nd gen,4.2,454,32,silver,1,1,wifi
34,Apple 16GB iPad Air Wi-Fi Silver MGLW2LL/A (Renewed),Apple 16GB iPad Air Wi-Fi Silver MGLW2LL/A (Renewed),Milo Certified Electronics,139,1,air,3.6,816,16,silver,1,1,wifi
35,"2019 Apple iPad 7th Gen (10.2-inch, Wi-Fi, 32GB) - Space Gray (Renewed)",2019 Apple iPad 7th Gen (10.2-inch Wi-Fi 32GB) - Space Gray (Renewed),BlueChip Wireless,148.5,1,apple ipad,3.6,7,32,space gray,0,1,wifi
36,"Apple iPad Air 11-inch (M2): Built for Apple Intelligence, Liquid Retina Display, 128GB, 12MP Front/Back Camera, Wi-Fi 6E, Touch ID, All-Day Battery Life — Blue",Apple iPad Air 11-inch (M2): Built for Apple Intelligence Liquid Retina Display 128GB 12MP Front/Back Camera Wi-Fi 6E Touch ID All-Day Battery Life — Blue,amazon.com,599.98,0,air,4.7,2611,128,blue,1,1,wifi
37,"Apple iPad Pro (10.5-inch, Wi-Fi + Cellular, 64GB) - Rose Gold (Previous Model)",Apple iPad Pro (10.5-inch Wi-Fi + Cellular 64GB) - Rose Gold (Previous Model),amazon.com,674.42,0,pro,4.6,2111,64,rose gold,1,1,wifi cell
38,"Apple 2022 iPad 10.9-inch, Wi-Fi + Cellular, 64GB - Blue (Renewed)",Apple 2022 iPad 10.9-inch Wi-Fi + Cellular 64GB - Blue (Renewed),amazon.com,349.99,1,air 4,4.3,456,64,blue,1,1,wifi cell
39,"Apple iPad Pro (12.9-inch, Wi-Fi, 256GB) - Space Gray (Renewed)",Apple iPad Pro (12.9-inch Wi-Fi 256GB) - Space Gray (Renewed),Chrome Source,399,1,pro,4.5,384,256,space gray,1,1,wifi
40,"Apple iPad Mini, 5th Gen (Wi-Fi, 64GB) - Space Gray (Renewed)",Apple iPad Mini 5th Gen (Wi-Fi 64GB) - Space Gray (Renewed),ItsWorthMore,219.99,1,mini,4.4,2515,64,space gray,1,1,wifi
41,"2021 Apple iPad mini (Wi-Fi, 256GB) - Starlight with AppleCare+ (2 Years)",2021 Apple iPad mini (Wi-Fi 256GB) - Starlight with AppleCare+ (2 Years),amazon.com,718,0,mini,4.8,11664,256,starlight,1,1,wifi
42,"Apple 2024 iPad Pro 11-inches, Wi-Fi + Cellular, 256GB - Space Black (Renewed)",Apple 2024 iPad Pro 11-inches Wi-Fi + Cellular 256GB - Space Black (Renewed),QuickshipElectronics,749,1,pro,4.2,8,256,space black,1,1,wifi cell
43,"Apple iPad Pro 13-Inch (M4): Ultra Retina XDR Display, 256GB, Landscape 12MP Front Camera/12MP Back Camera, Wi-Fi 6E, Face ID, All-Day Battery — Silver with AppleCare+ (2 Years)",Apple iPad Pro 13-Inch (M4): Ultra Retina XDR Display 256GB Landscape 12MP Front Camera/12MP Back Camera Wi-Fi 6E Face ID All-Day Battery — Silver with AppleCare+ (2 Years),amazon.com,1468,0,pro,5,9,256,silver,1,1,wifi
44,"2020 Apple iPad Pro (12.9-inch, Wi-Fi + Cellular, 256GB) - Space Gray (Renewed Premium)",2020 Apple iPad Pro (12.9-inch Wi-Fi + Cellular 256GB) - Space Gray (Renewed Premium),Techdeals4Less,490.15,1,pro,0,0,256,space gray,1,1,wifi
45,10.9-inch iPad Air Wi-Fi 256GB - Starlight with AppleCare+ (2 Years),10.9-inch iPad Air Wi-Fi 256GB - Starlight with AppleCare+ (2 Years),amazon.com,828,0,air,4.8,14490,256,starlight,1,1,wifi
