duration,start_station,end_station,plan_duration,st_year,st_month,st_day,st_hour,st_minute,end_year,end_month,end_day,end_hour,end_minute,bike_electric,pass_daypass,pass_indego30,pass_indego365,pass_walkup,trip_oneway,day_of_week,is_weekend,st_hr_sin,st_hr_cos,st_day_sin,st_day_cos,st_yr_sin,st_yr_cos
15,3022,3212,30,2021,6,25,20,22,2021,6,25,20,37,0,0,1,0,0,1,4,0,-0.8660254037844386,0.5000000000000001,-0.7818314824680302,0.6234898018587329,-0.8660254037844387,-0.4999999999999998
7,3020,3022,365,2022,11,15,15,15,2022,11,15,15,22,0,0,0,1,0,1,1,0,-0.7071067811865471,-0.7071067811865479,0.7818314824680284,0.6234898018587354,1.0,1.1943401194869637e-15
24,3032,3032,365,2024,10,29,14,18,2024,10,29,14,42,1,0,0,1,0,0,1,0,-0.4999999999999997,-0.8660254037844388,-4.898587196589413e-16,1.0,0.8660254037844384,0.5000000000000004
7,3235,3385,365,2025,3,23,8,14,2025,3,23,8,22,1,0,0,1,0,1,6,1,0.8660254037844387,-0.4999999999999998,0.7818314824680296,0.6234898018587337,-0.8660254037844385,-0.5000000000000004
8,3050,3101,30,2020,10,17,16,52,2020,10,17,17,0,0,0,1,0,0,1,5,1,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.2225209339563138,0.8660254037844392,-0.4999999999999992
9,3165,3018,30,2021,6,23,9,55,2021,6,23,10,4,1,0,1,0,0,1,2,0,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.2225209339563141,-1.0,-1.8369701987210294e-16
17,3347,3168,1,2025,10,12,18,3,2025,10,12,18,20,0,0,0,0,1,1,6,1,-1.0,-1.8369701987210294e-16,-0.4338837391175575,-0.9009688679024194,3.673940397442059e-16,-1.0
7,3204,3294,30,2024,5,18,13,10,2024,5,18,13,17,1,0,1,0,0,1,5,1,-0.2588190451025208,-0.9659258262890684,-0.781831482468029,0.6234898018587346,0.5,0.8660254037844386
11,3368,3018,365,2025,11,15,12,42,2025,11,15,12,53,1,0,0,1,0,1,5,1,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563148,-2.4492935982947064e-16,1.0
39,3035,3104,30,2023,3,18,11,12,2023,3,18,11,51,0,0,1,0,0,1,5,1,0.258819045102521,-0.9659258262890682,-0.4338837391175562,-0.90096886790242,-0.5000000000000004,0.8660254037844384
36,3108,3065,30,2020,9,17,18,55,2020,9,17,19,31,0,0,1,0,0,1,3,0,-1.0,-1.8369701987210294e-16,-0.4338837391175575,-0.9009688679024194,3.673940397442059e-16,-1.0
2,3395,3025,30,2025,7,18,18,24,2025,7,18,18,26,0,0,1,0,0,1,4,0,-1.0,-1.8369701987210294e-16,-0.4338837391175575,-0.9009688679024194,3.673940397442059e-16,-1.0
71,3028,3028,30,2020,6,15,18,42,2020,6,15,19,53,0,0,1,0,0,0,0,0,-1.0,-1.8369701987210294e-16,-0.4338837391175575,-0.9009688679024194,3.673940397442059e-16,-1.0
15,3011,3108,30,2021,6,24,10,36,2021,6,24,10,51,0,0,1,0,0,1,3,0,0.4999999999999999,-0.8660254037844387,0.4338837391175584,-0.9009688679024188,-0.8660254037844386,0.5000000000000001
27,3124,3100,1,2022,8,16,18,2,2022,8,16,18,29,0,1,0,0,0,1,1,0,-1.0,-1.8369701987210294e-16,-0.4338837391175575,-0.9009688679024194,3.673940397442059e-16,-1.0
8,3074,3029,30,2021,9,29,17,7,2021,9,29,17,15,0,0,1,0,0,1,2,0,-0.9659258262890684,-0.2588190451025206,0.433883739117557,-0.9009688679024196,0.4999999999999998,-0.8660254037844388
22,3113,3054,30,2025,3,30,20,20,2025,3,30,20,42,0,0,1,0,0,1,6,1,-0.8660254037844386,0.5000000000000001,-0.7818314824680302,0.6234898018587329,-0.8660254037844387,-0.4999999999999998
40,3052,3052,30,2025,1,29,15,42,2025,1,29,16,22,0,0,1,0,0,0,2,0,-0.7071067811865471,-0.7071067811865479,0.7818314824680284,0.6234898018587354,1.0,1.1943401194869637e-15
7,3101,3028,30,2022,6,21,15,59,2022,6,21,16,6,0,0,1,0,0,1,1,0,-0.7071067811865471,-0.7071067811865479,0.7818314824680284,0.6234898018587354,1.0,1.1943401194869637e-15
7,3032,3101,30,2023,9,18,16,49,2023,9,18,16,56,1,0,1,0,0,1,0,0,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.2225209339563138,0.8660254037844392,-0.4999999999999992
2,3254,3245,30,2025,10,7,17,17,2025,10,7,17,19,1,0,1,0,0,1,1,0,-0.9659258262890684,-0.2588190451025206,0.433883739117557,-0.9009688679024196,0.4999999999999998,-0.8660254037844388
5,3032,3203,365,2021,7,5,14,37,2021,7,5,14,42,0,0,0,1,0,1,0,0,-0.4999999999999997,-0.8660254037844388,-4.898587196589413e-16,1.0,0.8660254037844384,0.5000000000000004
14,3187,3163,30,2022,9,21,19,20,2022,9,21,19,34,0,0,1,0,0,1,2,0,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.222520933956315,-0.4999999999999991,-0.8660254037844392
4,3007,3400,30,2025,7,20,14,45,2025,7,20,14,49,0,0,1,0,0,1,6,1,-0.4999999999999997,-0.8660254037844388,-4.898587196589413e-16,1.0,0.8660254037844384,0.5000000000000004
5,3303,3336,365,2025,3,27,9,25,2025,3,27,9,30,0,0,0,1,0,1,3,0,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.2225209339563141,-1.0,-1.8369701987210294e-16
13,3007,3052,365,2021,10,30,16,8,2021,10,30,16,21,0,0,0,1,0,1,5,1,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.2225209339563138,0.8660254037844392,-0.4999999999999992
2,3201,3201,30,2022,7,20,19,40,2022,7,20,19,42,0,0,1,0,0,0,2,0,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.222520933956315,-0.4999999999999991,-0.8660254037844392
6,3101,3185,30,2022,2,14,7,10,2022,2,14,7,16,0,0,1,0,0,1,0,0,0.9659258262890684,-0.2588190451025206,-2.4492935982947064e-16,1.0,-0.4999999999999997,-0.8660254037844388
14,3255,3104,30,2023,8,29,14,13,2023,8,29,14,27,1,0,1,0,0,1,1,0,-0.4999999999999997,-0.8660254037844388,-4.898587196589413e-16,1.0,0.8660254037844384,0.5000000000000004
3,3116,3054,30,2022,3,20,19,20,2022,3,20,19,23,0,0,1,0,0,1,6,1,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.222520933956315,-0.4999999999999991,-0.8660254037844392
